CGPA,Experience,Attendance,Backlogs,LPA
7.2,0.0,75,2,3.5
8.1,1.0,82,1,5.2
6.8,0.0,70,3,2.8
9.0,2.0,90,0,9.5
8.5,1.5,88,0,7.8
7.5,1.0,80,1,5.5
6.5,0.0,65,4,2.5
9.2,2.5,92,0,10.2
8.8,2.0,85,0,8.5
7.0,0.5,78,2,4.0
8.3,1.2,84,1,6.5
7.8,1.0,82,1,5.8
6.9,0.3,72,3,3.2
9.5,3.0,95,0,12.0
8.6,2.0,87,0,8.8
7.3,0.8,76,2,4.5
6.7,0.2,68,4,2.9
9.1,2.2,91,0,9.8
8.0,1.0,83,1,6.0
7.6,1.1,81,1,5.7
6.4,0.0,60,5,2.2
9.3,2.8,93,0,11.0
8.7,2.1,89,0,9.0
7.4,0.9,77,2,4.8
6.6,0.4,69,3,3.0
9.4,3.2,94,0,11.5
8.2,1.3,85,1,6.7
7.7,1.2,80,1,5.9
6.3,0.0,62,5,2.0
9.6,3.5,96,0,12.5
8.9,2.3,88,0,9.3
7.1,0.7,74,2,4.2
6.8,0.5,70,3,3.1
9.0,2.6,90,0,10.0
8.4,1.7,86,0,7.5
7.9,1.4,83,1,6.2
6.2,0.0,58,6,1.8
9.7,3.8,97,0,13.0
8.5,1.8,87,0,8.0
7.2,0.6,75,2,4.3
6.9,0.4,71,3,3.3
9.2,2.7,92,0,10.5
8.3,1.5,84,1,6.8
7.6,1.0,79,1,5.6
6.1,0.0,55,6,1.5
9.8,4.0,98,0,14.0
8.7,2.0,88,0,9.1
7.3,0.8,76,2,4.6
6.5,0.3,67,4,2.7
